[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:43:59.616 WARN 25108 [] [main] c.a.c.n.c.NacosPropertySourceBuilder     [2m:[0;39m Ignore the empty nacos configuration and get it based on dataId[wcc] & group[DEFAULT_GROUP]
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:43:59.694 INFO 25108 [] [main] b.c.PropertySourceBootstrapConfiguration [2m:[0;39m Located property source: [BootstrapPropertySource {name='bootstrapProperties-wcc-local.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-wcc.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-wcc,DEFAULT_GROUP'}]
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:43:59.803 INFO 25108 [] [main] hqsc.ray.wcc2.RayWcc2SystemServer        [2m:[0;39m The following profiles are active: local
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:06.536 WARN 25108 [] [main] o.s.boot.actuate.endpoint.EndpointId     [2m:[0;39m Endpoint ID 'nacos-config' contains invalid characters, please migrate to a valid format.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:06.552 WARN 25108 [] [main] o.s.boot.actuate.endpoint.EndpointId     [2m:[0;39m Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:08.578 INFO 25108 [] [main] .s.d.r.c.RepositoryConfigurationDelegate [2m:[0;39m Multiple Spring Data modules found, entering strict repository configuration mode!
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:08.579 INFO 25108 [] [main] .s.d.r.c.RepositoryConfigurationDelegate [2m:[0;39m Bootstrapping Spring Data JPA repositories in DEFERRED mode.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.711 INFO 25108 [] [main] .s.d.r.c.RepositoryConfigurationDelegate [2m:[0;39m Finished Spring Data repository scanning in 1075ms. Found 38 JPA repository interfaces.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.772 INFO 25108 [] [main] .s.d.r.c.RepositoryConfigurationDelegate [2m:[0;39m Multiple Spring Data modules found, entering strict repository configuration mode!
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.777 INFO 25108 [] [main] .s.d.r.c.RepositoryConfigurationDelegate [2m:[0;39m Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.919 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.RaySysAttachmentRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.920 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.SysApiRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.921 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.SysBlacklistRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.922 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.SysClientRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.924 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.SysDepartRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.925 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.SysDictRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.926 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.SysLogRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.928 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.SysMenuRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.929 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.SysRolePermissionRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
